,1,2,3,4,5
sol_dos,7,2,6,10,6
sol_vist,4,11,6,0,5
solarium_deck,4,8,7,4,15
solarium_form,5,1,0,17,3
solarium_jacuzzi,3,8,11,1,9
solarium_laundry,7,10,12,0,3
solarium_parrill,12,10,13,9,15
solarium_piscin,0,5,9,2,10
solarium_saun,2,14,19,4,17
solarium_sum,1,16,14,5,11
split_fri,6,15,8,6,14
srl_cucicb,45,30,18,5,0
srl_preci,6,1,0,25,0
stern_4824contact,110,88,33,6,3
stern_cucicb,21,14,3,0,0
suarez_cucicb,18,19,12,0,0
subt_b,45,35,20,48,41
subt_d,7,14,23,4,23
subt_line,77,36,32,75,48
suit_2,6,6,9,8,11
suit_baã,8,7,15,10,7
suit_cocin,5,8,15,14,11
suit_toilett,5,3,21,3,11
suit_vestidor,22,29,57,40,61
sujet_verificacion,6,5,2,17,6
sum_funcional,5,15,0,1,22
sum_laundry,3,12,7,0,12
sum_parrill,3,40,27,2,30
sum_piscin,1,6,7,4,8
sum_solarium,7,35,35,7,26
sup_cubiert,5,4,4,8,4
sup_lumin,74,61,88,71,92
sup_total,27,21,16,38,40
superfici_cubiert,15,9,12,21,9
superfici_m2,26,18,5,32,25
superfici_total,26,17,29,30,25
sur_parqu,3,5,2,14,1
sãºper_lumin,13,21,17,3,14
tambiã_n,12,6,7,5,6
tan_sol,7,4,8,7,6
tech_altos,16,6,10,16,9
tech_dobl,11,5,1,8,5
telm_apto,4,23,28,1,0
ter_cucicb,14,5,9,0,0
terc_dormitori,9,6,4,4,5
terc_pis,12,10,5,7,16
termin_categorã,0,8,8,2,8
terraz_2,11,3,3,7,4
terraz_cocher,4,3,5,10,5
terraz_frent,2,7,6,4,9
terraz_parrill,37,21,19,30,28
terraz_propi,77,30,31,68,23
terren_382m2,0,22,11,0,0
terren_vist,0,6,36,0,0
the_union,15,15,11,22,23
tip_cas,47,2,5,63,14
tip_duplex,10,5,6,8,5
tip_jaul,1,20,5,1,0
tip_loft,11,15,24,18,12
tip_ph,41,19,4,25,14
tip_propied,9,12,4,10,8
tir_balanc,9,9,5,16,4
toilett_baã,7,7,3,12,11
toilett_cocin,12,19,19,21,34
toilett_duch,6,4,2,6,14
toilett_recepcion,30,27,55,21,76
toilett_recepciãƒâ³n,0,0,14,20,5
torr_21,0,0,37,0,1
torr_categori,0,5,21,3,14
torr_propiedad,18,8,3,13,18
total_balcon,7,6,7,3,6
total_equip,8,3,13,6,15
total_extern,5,5,5,2,9
total_recicl,27,23,32,56,33
trat_departament,19,14,7,9,6
trav_inmomap,27,5,2,41,15
travã_s,69,50,34,56,77
trayectori_emblemat,0,2,16,0,9
trec_cucicb,16,5,6,4,0
tres_ambient,51,32,24,34,34
tres_ampli,4,2,3,4,12
tres_cuadr,37,17,14,62,16
tres_dormitori,35,18,21,32,35
tres_plant,21,3,5,17,6
tripl_frent,0,1,32,2,1
u_d,1,15,3,5,4
u_m,5,4,7,4,8
u_oficin,11,6,5,4,4
u_s,57,78,174,75,50
ubic_almagr,18,0,0,50,0
ubic_av,70,47,37,88,53
ubic_aven,8,5,13,11,11
ubic_barri,27,38,25,30,54
ubic_call,24,15,20,15,19
ubic_catamarc,4,9,0,7,5
ubic_contrafrent,10,10,6,3,9
ubic_corazon,4,4,6,10,12
ubic_cuadr,9,5,1,4,11
ubic_frent,22,9,12,8,13
ubic_gurruchag,1,0,5,6,14
ubic_mejor,5,8,16,12,9
ubic_metr,20,11,9,5,10
ubic_paraguay,2,3,15,2,9
ubic_pb,3,9,3,4,7
ubic_pis,11,10,8,4,3
ubic_plen,10,10,12,1,4
ubic_ramon,10,2,2,0,20
ubic_san,10,6,2,10,4
ubic_zon,13,12,45,11,20
ubicacion_1,13,10,8,13,12
ubicacion_2,13,2,9,15,12
ubicacion_av,7,6,2,3,13
ubicacion_barri,8,4,5,3,6
ubicacion_cerc,6,7,5,2,10
ubicacion_cuadr,11,23,7,6,20
ubicacion_metr,23,13,15,11,21
ubicacion_pas,2,4,7,7,5
ubicacion_privilegi,9,13,24,3,18
ubicacion_proxim,3,4,11,6,3
ubicaciã_n,52,45,16,39,32
ultim_unidad,7,11,15,3,0
unid_2,8,5,6,11,4
unid_cuent,11,6,9,10,4
unid_encuentr,13,4,3,5,7
unid_ubic,11,5,2,2,5
unidad_1,32,15,37,69,17
unidad_2,13,3,7,5,6
unidad_desarroll,6,15,0,2,23
unidad_dispon,19,19,11,11,3
unidad_pis,8,7,10,0,10
unidad_total,7,0,2,16,7
unidad_viviend,2,10,0,4,9
union_propiedad,15,14,11,22,23
univers_palerm,2,7,18,0,6
urquiz_1,1,3,14,5,2
urquiz_2,3,10,11,8,4
usd_110000,5,3,5,14,7
usd_115000,3,2,9,10,11
usd_120000,14,4,4,14,10
usd_125000,9,3,6,6,8
usd_130000,5,0,5,7,15
usd_135000,14,2,4,7,7
usd_140000,5,2,3,12,9
usd_155000,15,1,0,4,6
usd_65000,14,6,2,9,3
usd_70000,11,6,3,11,4
usd_75000,5,2,3,17,11
usd_80000,14,4,2,18,3
usd_85000,4,8,0,11,5
usd_90000,11,3,2,11,11
usd_95000,7,10,2,8,12
uso_profesional,5,11,9,6,24
usos_multipl,7,6,3,3,11
usos_mãºltipl,4,12,10,1,10
varel_3872contact,20,12,20,4,3
varel_c,18,15,15,4,0
vari_lin,7,6,14,6,7
vazquez_hij,12,1,1,14,2
vend_rent,14,16,24,11,24
vent_1,5,6,14,16,13
vent_2,9,17,23,8,30
vent_3,21,12,13,13,26
vent_4,8,5,7,24,11
vent_alquil,2,5,9,4,13
vent_belgran,2,12,12,3,22
vent_caballit,7,8,3,7,4
vent_cas,36,6,12,68,14
vent_departament,312,483,796,376,505
vent_direct,14,10,2,9,7
vent_excelent,16,13,5,10,4
vent_local,7,1,9,14,14
vent_monoambient,14,20,19,12,43
vent_palerm,5,7,21,5,33
vent_ph,24,7,2,33,9
vent_poz,28,6,3,57,4
vent_rent,9,16,18,3,17
vent_semipis,1,5,4,4,18
vent_tip,5,8,4,8,11
vent_u,3,2,8,7,6
vent_unidad,21,2,0,49,2
vent_vill,30,17,7,36,47
vent_viviend,5,1,0,17,3
ventanal_pis,3,10,3,2,10
ventilacion_natural,13,0,1,7,3
verificacion_ajust,3,5,1,15,4
vestidor_2,8,2,8,2,7
vestidor_baã,7,11,19,11,19
vicent_lopez,7,5,9,2,8
vigil_24,2,6,27,5,16
vill_cresp,66,148,102,94,107
vill_devot,20,9,10,2,14
vill_lur,27,8,7,12,6
vill_parqu,23,10,3,19,11
vill_pueyrredon,11,8,18,9,2
vill_urquiz,34,66,74,50,42
vinogr_mls,7,19,7,0,0
virrey_pin,3,2,10,0,9
visit_comunic,5,7,17,0,0
vist_abiert,110,86,107,71,133
vist_ciud,6,2,12,8,4
vist_frent,15,9,13,9,11
vist_jardin,17,3,12,3,3
vist_panoram,29,19,53,14,33
vist_plaz,3,5,11,3,6
vist_rio,3,5,46,18,21
viviend_apto,8,2,0,18,10
viviend_estudi,2,5,3,2,13
viviend_multifamili,0,22,13,1,0
viviend_uso,3,5,5,2,10
waim_propiedad,7,19,7,6,19
x_1,32,24,6,24,22
x_2,31,18,11,30,14
x_3,68,31,25,72,40
x_4,28,12,15,36,29
x_5,11,3,9,17,9
x_7,4,3,5,13,2
x_75m,0,6,36,0,0
x_mes,33,0,5,39,4
zarleng_inmobiliari,10,6,13,1,24
zon_belgran,1,10,16,2,9
zon_comercial,15,9,15,22,35
zon_gran,7,6,9,3,8
zon_mas,3,4,16,6,9
zon_outlets,1,0,11,10,6
zon_palerm,2,10,36,5,18
zon_preferencial,0,1,35,0,0
zon_privilegi,3,4,13,0,10
zon_residencial,35,34,34,21,41
zon_tranquil,11,17,3,6,8
zon_vill,6,16,6,7,7
â_â,16,6,12,1,3
ã_poc,17,10,7,13,6
ã_â,4,0,1,2,4
