,1,2,3,4,5
ambient_palerm,12,18,36,4,39
ambient_pati,36,14,4,48,12
ambient_pb,10,4,2,10,1
ambient_pis,23,28,28,16,29
ambient_plant,30,1,6,25,6
ambient_poz,5,13,1,0,19
ambient_prim,17,1,5,8,3
ambient_recicl,14,5,7,5,4
ambient_saavedr,11,14,1,12,14
ambient_sal,1,14,8,0,10
ambient_san,9,3,12,14,17
ambient_segund,5,5,4,11,1
ambient_sup,13,7,9,2,3
ambient_terraz,22,6,4,33,6
ambient_torr,3,3,9,3,8
ambient_ubic,28,20,52,11,19
ambient_vent,51,35,20,48,64
ambient_vill,42,42,13,44,51
ambient_vist,4,3,16,2,10
ameniti_pilet,6,3,11,18,12
ameniti_piscin,2,13,18,2,9
ameniti_premium,1,42,37,4,6
ameniti_sum,8,12,6,6,19
ampli_2,9,0,13,6,5
ampli_3,7,4,6,10,8
ampli_ambient,36,36,30,36,38
ampli_balcon,30,38,27,19,70
ampli_baã,4,4,8,7,18
ampli_cocin,66,33,41,55,46
ampli_comedor,9,1,5,10,6
ampli_comod,20,9,1,7,4
ampli_departament,24,8,16,21,17
ampli_dimension,9,6,2,7,2
ampli_dormitori,48,29,21,51,47
ampli_hall,17,10,9,12,18
ampli_lavader,11,1,4,2,7
ampli_living,128,77,108,115,123
ampli_livingcomedor,13,10,7,21,13
ampli_lumin,64,48,21,36,34
ampli_monoambient,6,20,16,2,22
ampli_pati,15,4,4,19,4
ampli_pis,8,0,5,10,3
ampli_placar,15,4,7,9,14
ampli_placard,15,10,9,9,14
ampli_terraz,11,7,2,8,2
ampli_ventanal,7,4,6,7,11
anaf_elã,6,6,9,2,2
anaf_horn,7,7,29,5,18
anticip_15,3,33,36,0,0
anticip_30,3,30,1,0,0
anticip_40,9,3,40,0,3
anticip_50,2,0,25,14,1
anticip_cuot,28,3,5,69,6
aproxim_sujet,6,7,2,19,10
apto_credit,34,19,10,15,20
apto_crã,22,13,9,21,11
apto_profesional,175,216,188,116,217
apto_profesionaldepartamentosform,3,33,36,0,0
apto_profesionalentreg,1,0,47,3,0
apto_profesionalexcelent,0,8,22,0,0
apto_profesionalform,3,37,76,0,0
apto_profesionalgr,0,38,38,0,0
apto_profesionall,1,6,34,0,0
apto_profesionalmy,0,0,48,1,0
apto_profesionalproyect,0,22,9,0,0
apto_viviend,3,5,4,2,15
argentin_buen,56,244,650,77,11
ariel_champani,186,106,108,29,12
arnal_ponti,13,8,10,8,1
arupac_mas,0,2,16,0,9
ascensor_alta,0,0,6,16,3
ascensor_automat,4,7,15,2,21
aufseh_cucicb,55,37,20,2,1
aug_propiedad,5,4,4,8,6
av_9,7,6,4,3,5
av_beir,4,1,10,3,8
av_belgran,12,4,2,9,9
av_boed,24,1,1,53,2
av_cabild,10,41,37,11,46
av_calla,5,7,8,6,7
av_congres,7,12,9,5,8
av_cordob,20,21,34,17,47
av_corrient,62,40,26,55,51
av_directori,14,11,5,10,6
av_gaon,8,4,2,8,3
